id,russian,transliteration,english,island,notes
1,Привет.,Privet.,Hi.,greetings_basics,Informal hi
2,Здравствуйте.,Zdravstvuyte.,Hello.,greetings_basics,Formal/polite
3,Как дела?,Kak dela?,How are you?,greetings_basics,
4,Всё хорошо. А у тебя?,Vsyo khorosho. A u tebya?,All good. And you?,greetings_basics,
5,Спасибо большое.,Spasibo bolshoye.,Thank you very much.,greetings_basics,
6,Пожалуйста.,Pozhaluysta.,Please. / You're welcome.,greetings_basics,
7,Извини.,Izvini.,Sorry.,greetings_basics,Informal
8,Извините.,Izvinite.,Excuse me / sorry.,greetings_basics,Polite
9,Да.,Da.,Yes.,greetings_basics,
10,Нет.,Nyet.,No.,greetings_basics,
11,До свидания.,Do svidaniya.,Goodbye.,greetings_basics,
12,Пока.,Poka.,Bye.,greetings_basics,Informal
13,Доброе утро.,Dobroye utro.,Good morning.,greetings_basics,
14,Спокойной ночи.,Spokoynoy nochi.,Good night.,greetings_basics,
15,Рад познакомиться.,Rad poznakomitsya.,Nice to meet you.,greetings_basics,Male speaker
16,Меня зовут Юсеф.,Menya zovut Yusef.,My name is Yusef.,self_intro,Replace with your name
17,Мне двадцать четыре года.,Mne dvadtsat chetyre goda.,I'm 24 years old.,self_intro,
18,Я из Марокко.,Ya iz Marokko.,I'm from Morocco.,self_intro,
19,Я марокканец.,Ya marokkanets.,I'm Moroccan.,self_intro,
20,Я говорю по-арабски и по-английски.,Ya govoryu po-arabski i po-angliyski.,I speak Arabic and English.,self_intro,
21,Я немного говорю по-французски.,Ya nemnogo govoryu po-frantsuzski.,I speak a little French.,self_intro,
22,Я только начал учить русский.,Ya tolko nachal uchit russkiy.,I just started learning Russian.,self_intro,
23,Я учу русский шесть дней.,Ya uchu russkiy shest dney.,I've been learning Russian for six days.,self_intro,
24,Я программист.,Ya programmist.,I'm a programmer.,self_intro,
25,Я разработчик.,Ya razrabotchik.,I'm a developer.,self_intro,
26,Я живу с родителями.,Ya zhivu s roditelyami.,I live with my parents.,self_intro,
27,У меня есть брат и сестра.,U menya yest brat i sestra.,I have a brother and a sister.,self_intro,Adjust to your siblings
28,Скажи помедленнее пожалуйста.,Skazhi pomedlenneye pozhaluysta.,Say it slower please.,self_intro,
29,Я не понимаю.,Ya ne ponimayu.,I don't understand.,self_intro,
30,Повтори пожалуйста.,Povtori pozhaluysta.,Repeat please.,self_intro,
31,Один.,Odin.,One.,numbers_time,
32,Два.,Dva.,Two.,numbers_time,
33,Три.,Tri.,Three.,numbers_time,
34,Четыре.,Chetyre.,Four.,numbers_time,
35,Пять.,Pyat.,Five.,numbers_time,
36,Десять.,Desyat.,Ten.,numbers_time,
37,Сто.,Sto.,One hundred.,numbers_time,
38,Тысяча.,Tysyacha.,One thousand.,numbers_time,
39,Сколько времени?,Skolko vremeni?,What time is it?,numbers_time,
40,Сейчас три часа.,Seychas tri chasa.,It's three o'clock now.,numbers_time,
41,Сегодня понедельник.,Sevodnya ponedelnik.,Today is Monday.,numbers_time,
42,Завтра.,Zavtra.,Tomorrow.,numbers_time,
43,Вчера.,Vchera.,Yesterday.,numbers_time,
44,На этой неделе.,Na etoy nedele.,This week.,numbers_time,
45,В следующем месяце.,V sleduyushchem mesyatse.,Next month.,numbers_time,
46,Мой отец работает.,Moy otets rabotayet.,My dad works.,family,
47,Моя мама дома.,Moya mama doma.,My mom is home.,family,
48,У меня большая семья.,U menya bolshaya semya.,I have a big family.,family,
49,Я люблю свою семью.,Ya lyublyu svoyu semyu.,I love my family.,family,
50,Мой брат старше меня.,Moy brat starshe menya.,My brother is older than me.,family,
51,Моя сестра младше.,Moya sestra mladshe.,My sister is younger.,family,
52,Мы часто едим вместе.,My chasto yedim vmeste.,We often eat together.,family,
53,По вечерам мы сидим вместе.,Po vecheram my sidim vmeste.,In the evenings we sit together.,family,
54,Моя мама готовит лучше всех.,Moya mama gotovit luchshe vsekh.,My mom cooks the best.,family,
55,Я близок с родителями.,Ya blizok s roditelyami.,I'm close with my parents.,family,
56,Я скучаю по семье.,Ya skuchayu po semye.,I miss my family.,family,
57,Расскажи о своей семье.,Rasskazhi o svoyey semye.,Tell me about your family.,family,
58,У тебя есть братья или сёстры?,U tebya yest bratya ili syostry?,Do you have brothers or sisters?,family,
59,Я работаю программистом.,Ya rabotayu programmistom.,I work as a programmer.,work_dev,
60,Я пишу код каждый день.,Ya pishu kod kazhdyy den.,I write code every day.,work_dev,
61,Я работаю в офисе.,Ya rabotayu v ofise.,I work in an office.,work_dev,
62,Иногда работаю из дома.,Inogda rabotayu iz doma.,Sometimes I work from home.,work_dev,
63,У меня встреча в десять.,U menya vstrecha v desyat.,I have a meeting at ten.,work_dev,
64,Я делаю сайты.,Ya delayu sayty.,I make websites.,work_dev,
65,Сегодня было много работы.,Sevodnya bylo mnogo raboty.,There was a lot of work today.,work_dev,
66,Я люблю свою работу.,Ya lyublyu svoyu rabotu.,I love my work.,work_dev,
67,Я устал на работе.,Ya ustal na rabote.,I'm tired at work.,work_dev,
68,Я иду на обед.,Ya idu na obed.,I'm going to lunch.,work_dev,
69,У меня дедлайн.,U menya dedlayn.,I have a deadline.,work_dev,
70,Можно ещё чаю?,Mozhno yeshchyo chayu?,Can I have more tea?,food_restaurant,
71,Воды без газа пожалуйста.,Vody bez gaza pozhaluysta.,Still water please.,food_restaurant,
72,Я не ем свинину.,Ya ne yem svininu.,I don't eat pork.,food_restaurant,
73,Я мусульманин.,Ya musulmanin.,I'm Muslim.,food_restaurant,
74,Я не пью алкоголь.,Ya ne pyu alkogol.,I don't drink alcohol.,food_restaurant,
75,В этом блюде есть свинина?,V etom blyude yest svinina?,Is there pork in this dish?,food_restaurant,
76,Что вы посоветуете?,Chto vy posovetuyete?,What do you recommend?,food_restaurant,
77,Я возьму это.,Ya vozmu eto.,I'll take this.,food_restaurant,
78,Очень вкусно.,Ochen vkusno.,Very tasty.,food_restaurant,
79,Можно счёт пожалуйста?,Mozhno schyot pozhaluysta?,Can I have the bill please?,food_restaurant,
80,Здесь есть халяльная еда?,Zdes yest khalyalnaya yeda?,Is there halal food here?,food_restaurant,
81,Я хочу курицу.,Ya khochu kuritsu.,I want chicken.,food_restaurant,
82,Без сахара пожалуйста.,Bez sakhara pozhaluysta.,No sugar please.,food_restaurant,
83,Это очень остро.,Eto ochen ostro.,This is very spicy.,food_restaurant,
84,Я наелся.,Ya nayelsya.,I'm full.,food_restaurant,
85,Спасибо всё было прекрасно.,Spasibo vsyo bylo prekrasno.,Thanks everything was great.,food_restaurant,
86,Я люблю готовить.,Ya lyublyu gotovit.,I love to cook.,cooking_morocco,
87,Я готовлю марокканские блюда.,Ya gotovlyu marokkanskiye blyuda.,I cook Moroccan dishes.,cooking_morocco,
88,Тажин — наше национальное блюдо.,Tazhin — nashe natsionalnoye blyudo.,Tagine is our national dish.,cooking_morocco,
89,Я делаю кускус по выходным.,Ya delayu kuskus po vykhodnym.,I make couscous on weekends.,cooking_morocco,
90,Мы пьём мятный чай.,My pyom myatnyy chay.,We drink mint tea.,cooking_morocco,
91,Хочешь попробовать марокканскую кухню?,Khochesh poprobovat marokkanskuyu kukhnyu?,Want to try Moroccan cuisine?,cooking_morocco,
92,Я могу приготовить тебе тажин.,Ya mogu prigotovit tebe tazhin.,I can make tagine for you.,cooking_morocco,
93,Я ем курицу с рисом.,Ya yem kuritsu s risom.,I eat chicken with rice.,cooking_morocco,Gym food
