rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
1,быть,byt',to be,Он будет дома вечером.,On budet doma vecherom.,He will be home in the evening.,existence
2,мочь,moch',to be able to,Я могу помочь тебе с этим.,Ya mogu pomoch' tebe s etim.,I can help you with this.,state
3,сказать,skazat',to say,Она сказала мне правду.,Ona skazala mne pravdu.,She told me the truth.,communication
4,говорить,govorit',to speak/talk,Мы говорим по-русски каждый день.,My govorim po-russki kazhdyy den'.,We speak Russian every day.,communication
5,знать,znat',to know,Я знаю этого человека давно.,Ya znayu etogo cheloveka davno.,I have known this person for a long time.,cognition
6,стать,stat',to become,Он стал врачом в прошлом году.,On stal vrachom v proshlom godu.,He became a doctor last year.,change
7,хотеть,khotet',to want,Я хочу поехать в отпуск.,Ya khochu poekhat' v otpusk.,I want to go on vacation.,emotion
8,видеть,videt',to see,Ты видишь ту машину на углу?,Ty vidish' tu mashinu na uglu?,Do you see that car on the corner?,perception
9,идти,idti,to go/walk,Я иду в магазин за хлебом.,Ya idu v magazin za khlebom.,I am going to the store for bread.,motion
10,стоять,stoyat',to stand,Он стоит у окна и смотрит.,On stoit u okna i smotrit.,He is standing by the window looking.,state
11,думать,dumat',to think,Я думаю это хорошая идея.,Ya dumayu eto khoroshaya ideya.,I think this is a good idea.,cognition
12,спросить,sprosit',to ask,Она спросила меня о работе.,Ona sprosila menya o rabote.,She asked me about work.,communication
13,жить,zhit',to live,Мы живём в центре города.,My zhivyom v tsentre goroda.,We live in the city center.,existence
14,смотреть,smotret',to look/watch,Дети смотрят мультфильм по телевизору.,Deti smotryat mul'tfil'm po televizoru.,The children are watching a cartoon on TV.,perception
15,сидеть,sidet',to sit,Бабушка сидит в кресле и читает.,Babushka sidit v kresle i chitayet.,Grandma is sitting in the armchair reading.,state
16,понять,ponyat',to understand,Я понял твою точку зрения.,Ya ponyal tvoyu tochku zreniya.,I understood your point of view.,cognition
17,иметь,imet',to have,Он имеет право на отдых.,On imeyet pravo na otdykh.,He has the right to rest.,possession
18,делать,delat',to do/make,Что ты делаешь сегодня вечером?,Chto ty delayesh' segodnya vecherom?,What are you doing this evening?,action
19,дать,dat',to give,Дай мне стакан воды пожалуйста.,Day mne stakan vody pozhaluysta.,Give me a glass of water please.,possession
20,ходить,khodit',to go/walk habitually,Я хожу в спортзал три раза в неделю.,Ya khozhu v sportzal tri raza v nedelyu.,I go to the gym three times a week.,motion
21,нужно,nuzhno,to need (impersonal),Мне нужно купить продукты на ужин.,Mne nuzhno kupit' produkty na uzhin.,I need to buy groceries for dinner.,state
22,казаться,kazat'sya,to seem,Мне кажется он сегодня устал.,Mne kazhetsya on segodnya ustal.,It seems to me he is tired today.,cognition
23,взять,vzyat',to take,Возьми зонт — на улице дождь.,Voz'mi zont — na ulitse dozhd'.,Take an umbrella — it is raining outside.,action
24,любить,lyubit',to love,Я люблю гулять по вечерам.,Ya lyublyu gulyat' po vecheram.,I love walking in the evenings.,emotion
25,работать,rabotat',to work,Она работает в больнице медсестрой.,Ona rabotayet v bol'nitse medsestroy.,She works at the hospital as a nurse.,action
26,найти,nayti,to find,Я нашёл ключи в кармане куртки.,Ya nashyol klyuchi v karmane kurtki.,I found the keys in my jacket pocket.,action
27,писать,pisat',to write,Он пишет письмо своему другу.,On pishet pis'mo svoyemu drugu.,He is writing a letter to his friend.,communication
28,выйти,vyyti,to go out/exit,Она вышла из дома в восемь утра.,Ona vyshla iz doma v vosem' utra.,She left the house at eight in the morning.,motion
